,uav1_x,uav1_y,uav1_z,uav2_x,uav2_y,uav2_z,uav3_x,uav3_y,uav3_z,uav4_x,uav4_y,uav4_z,uav5_x,uav5_y,uav5_z,uav6_x,uav6_y,uav6_z,uav7_x,uav7_y,uav7_z,uav8_x,uav8_y,uav8_z,uav9_x,uav9_y,uav9_z
227,-87.13475520856208,18.040351061455887,105.54032860535706,-72.51577977462512,3.4329340657473812,54.991310444541,-87.11731586687102,-2.6370676422020924,54.97456046219289,-101.72782023182717,3.4140491250649587,54.98626658780315,-107.79111762558755,18.027615077088626,55.00140638102999,-101.72181188703027,32.65225813250301,54.99866488939664,-87.1136205565208,38.69524539561895,55.02326231070476,-72.5078014793924,32.6615601123207,55.015920429988896,-66.45964216622673,18.048195777745374,55.01447548315744
228,-87.13585007567788,18.04152514285027,105.53956300081106,-72.51252514190399,3.4324381811369142,54.99196436458715,-87.11308725534232,-2.6364490505920326,54.97633208577723,-101.72622963750364,3.412995749449329,54.98207224108869,-107.79190721030402,18.0265462884587,55.00068852418128,-101.72252739062408,32.65192144972652,54.99708033963036,-87.11346350860735,38.69571103780686,55.022706024634076,-72.50649337969597,32.66093560194918,55.01551670084294,-66.4600377438006,18.048293558576827,55.015019093745195
229,-87.13467015874643,18.03878220494678,105.54237547048233,-71.67925526330787,4.375419282352811,54.92584093558587,-86.10292471566387,-1.6425241488637738,54.92020653177685,-100.77752056538192,2.5982872772550305,54.92087401602865,-106.88111135880366,17.096647606227,54.928531351161574,-102.55111987198343,31.7364462247407,54.951763143366804,-88.02384147742862,37.792134663420065,54.96013852737914,-73.53796339013344,33.568418664259134,55.002966586410075,-67.44869433203588,19.055683264013673,54.95918263783925
230,-87.13387521954245,18.032666052190486,105.53770963985505,-70.61683090826884,7.539586976649598,54.87616541961472,-83.08798345111548,-0.13964037091027925,54.855081596559685,-97.62680257374096,1.5161397698098915,54.85576822276093,-105.26888705184213,13.970891375745705,54.84063603380142,-103.58364374341328,28.75407319307774,54.87138391845327,-90.93404999711456,36.253132346148796,54.877504008247485,-76.57507594302668,34.54585136484694,54.88436815835392,-69.06723476436908,22.286021774631376,54.8761239256575
231,-87.12721312492104,18.033502310748506,105.53082060774591,-69.71138863517602,10.990821779903282,54.87893135256653,-79.81082040025412,1.1718399174615866,54.927037086183645,-94.16670896587394,0.605668405072507,54.89493882879729,-103.99403989019261,10.752252500404248,54.9138882185535,-104.4710374179976,25.288101359637576,54.9045178183107,-94.21393783265462,34.957466982575774,54.92681379784401,-80.15188769155132,35.470743770041864,54.89833472491033,-70.2818749734024,25.367321573112054,54.945588928100676
232,-87.1263908971797,18.044432929985295,105.54525946003736,-69.28770587252217,12.725037892377784,55.03392130982178,-78.26792185074062,1.7248773700424762,55.05761274330082,-92.42152255212793,0.20175989023001553,55.03822401955006,-103.41886973204798,9.13976235948141,55.06509324071796,-104.92771981082572,23.37908585595992,55.05822223382719,-95.99357235245469,34.3305080662804,55.057664581152565,-81.85768864981854,35.89032243185383,55.0534659780148,-70.8487205936739,26.964077759558087,55.07039846430997
233,-87.13348599415157,18.038923149552545,105.54192655290066,-69.66364923738915,13.859455762521407,55.051689341904556,-77.11599681574246,2.639577558587875,55.03658628357852,-91.29882049728728,0.5676675914084657,55.056540048052256,-102.64702300752283,8.111635019438122,55.037348804822656,-104.60744733959666,22.244998630715834,55.03916326240876,-97.18788006759641,33.39712561359487,55.065949688726135,-82.9475761575285,35.52668718558224,55.06340210429052,-71.5753998191766,27.942586736992414,55.121028318217405
234,-87.12313263529705,18.039088668032655,105.55498310092561,-70.14421452877453,16.575572382013533,54.97660192288367,-75.16980428702769,5.369451078951675,54.91662604077883,-88.42400500701093,1.0868041320099986,54.95086430615647,-100.04940138029862,6.14541208575966,54.92729861049644,-104.05389272699423,19.353374330738756,54.933833471239254,-99.2498391031537,30.285423169866018,54.87129677532517,-85.83902942307775,34.947117575576094,54.95207353651262,-74.22674084370924,29.92092868514401,54.942905810297596
235,-87.13121451793008,18.041247716215132,105.55274707805948,-70.67538201325361,20.08309815645972,54.932972488678494,-73.4869462607937,8.1529727779371,54.93174649268491,-85.00880748743812,1.5863080671209893,54.91910193643522,-97.06360518489004,4.412112012605031,54.923496596503654,-103.53994973215617,15.810748579501007,54.901350846929205,-100.88482725139121,27.440114175007913,54.95013463589477,-89.3286942872933,34.448836664475586,54.902958082488354,-77.18616579253425,31.63641605424294,54.92201337777282
236,-87.12975783816937,18.040480697416342,105.55420841904,-70.87582569997622,21.86482432637417,55.04816006062244,-72.83091565994123,9.348370581816395,55.05883016419998,-83.26877473949475,1.8001842232059895,55.02517272953564,-95.87140242547412,3.758110154958635,55.06602834168896,-103.3495835882562,14.161095622890409,55.04172046066442,-101.44564186511322,26.52848715519479,55.085120318007746,-91.04993899872886,34.270334946087296,55.04414821697789,-78.41578994738816,32.327580375987054,55.055964623059396
237,-87.1304498282111,18.03892990856601,105.54887301362311,-71.5000768525469,22.926294791043535,55.05338029959931,-72.48517523734756,10.24365584188235,55.07668167616044,-82.25871560479153,2.4145331444217715,55.036830583548564,-94.97881998131125,3.4188525574151805,55.05287712403439,-102.80769993879034,13.228988411351423,55.037830664643224,-101.76428903980354,25.887328967901773,55.060843684448784,-91.87263267098659,33.775981816488674,55.03751099218953,-79.23742586046689,32.67484352787931,55.053924613981735
238,-87.13566527233041,18.04486916980892,105.54681813977463,-73.85579429505951,25.611525416940136,54.94413931991294,-72.29728212027797,13.000751864087384,54.97156586585675,-79.68181425654178,4.671530348780688,54.94357399474781,-92.308012340628,3.2480489482807013,54.949784915173915,-100.50511753384748,10.636299537338902,54.9426838098396,-101.91139184455119,23.433817833389405,54.93300552504935,-94.36294812398296,31.50174383133783,54.90844193543254,-81.81009983413934,32.83615674462361,54.93533758556466
239,-87.1219872718509,18.04277128705017,105.55641407123115,-75.59897941571306,27.663847173241738,54.990187570945565,-72.14555305866486,16.062792938153724,54.92935439655376,-77.58766248527793,6.444674309922736,54.986993553919866,-89.17252843689498,3.0568582745634307,54.93391431288434,-98.64093109849577,8.415904851640057,54.97165660098951,-102.08802240995149,20.14337835367769,54.91459106426874,-96.5627399168085,29.682543050214832,54.96079127112169,-85.00514571459692,33.00612299762029,54.904586378348384
