sim_time, uav1/rotor_3_joint?0/velocity
244.02, -44.3241
244.024, -44.3167
244.028, -44.3103
244.032, -44.3176
244.036, -44.3228
244.04, -44.3266
244.044, -44.3294
244.048, -44.3314
244.052, -44.35
244.056, -44.3808
244.06, -44.4031
244.064, -44.4026
244.068, -44.4021
244.072, -44.4017
244.076, -44.3921
244.08, -44.3746
244.084, -44.3597
244.088, -44.3563
244.092, -44.3682
244.096, -44.3939
244.1, -44.3955
244.104, -44.3868
244.108, -44.3794
244.112, -44.3849
244.116, -44.4061
244.12, -44.4215
244.124, -44.409
244.128, -44.3983
244.132, -44.4158
244.136, -44.4286
244.14, -44.4378
244.144, -44.4445
244.148, -44.4494
244.152, -44.4421
244.156, -44.4358
244.16, -44.4304
244.164, -44.4564
244.168, -44.458
244.172, -44.44
244.176, -44.4248
244.18, -44.421
244.184, -44.4323
244.188, -44.4405
244.192, -44.4345
244.196, -44.42
244.2, -44.417
244.204, -44.4144
244.208, -44.4122
244.212, -44.4259
244.216, -44.4359
244.22, -44.4431
244.224, -44.4367
244.228, -44.4219
244.232, -44.4
244.236, -44.3721
244.24, -44.3576
244.244, -44.3545
244.248, -44.3519
244.252, -44.3404
244.256, -44.3212
244.26, -44.3142
244.264, -44.3376
244.268, -44.3546
244.272, -44.3519
244.276, -44.365
244.28, -44.3916
244.284, -44.411
244.288, -44.4251
244.292, -44.4213
244.296, -44.4181
244.3, -44.4153
244.304, -44.413
244.308, -44.4017
244.312, -44.3828
244.316, -44.3667
244.32, -44.3623
244.324, -44.3725
244.328, -44.3799
244.332, -44.3853
244.336, -44.3892
244.34, -44.392
244.344, -44.3838
244.348, -44.3676
244.352, -44.3537
244.356, -44.3512
244.36, -44.3491
244.364, -44.3629
244.368, -44.359
244.372, -44.3701
244.376, -44.3781
244.38, -44.4012
244.384, -44.401
244.388, -44.4007
244.392, -44.4006
244.396, -44.3818
244.4, -44.3659
244.404, -44.3616
244.408, -44.372
244.412, -44.3795
244.416, -44.3732
244.42, -44.3585
244.424, -44.346
244.428, -44.3446
244.432, -44.3769
244.436, -44.4003
244.44, -44.4001
244.444, -44.3907
244.448, -44.3931
244.452, -44.412
244.456, -44.4602
244.46, -44.4952
244.464, -44.5034
244.468, -44.5093
244.472, -44.5024
244.476, -44.4965
244.48, -44.4821
244.484, -44.4792
244.488, -44.4767
244.492, -44.4745
244.496, -44.4727
244.5, -44.4526
244.504, -44.4169
244.508, -44.3958
244.512, -44.387
244.516, -44.3904
244.52, -44.3825
244.524, -44.3665
244.528, -44.3621
244.532, -44.3583
244.536, -44.3551
244.54, -44.3673
244.544, -44.3933
244.548, -44.4122
244.552, -44.4259
244.556, -44.4531
244.56, -44.4556
244.564, -44.4746
244.568, -44.5229
244.572, -44.5579
244.576, -44.5661
244.58, -44.56
244.584, -44.5363
244.588, -44.5068
244.592, -44.4816
244.596, -44.4602
244.6, -44.4512
244.604, -44.4436
244.608, -44.437
244.612, -44.4222
244.616, -44.4003
244.62, -44.3816
244.624, -44.3656
244.628, -44.3521
244.632, -44.3498
244.636, -44.3634
244.64, -44.3733
244.644, -44.3805
244.648, -44.3857
244.652, -44.3895
244.656, -44.3922
244.66, -44.3942
244.664, -44.3956
244.668, -44.3967
244.672, -44.3878
244.676, -44.391
244.68, -44.3933
244.684, -44.395
244.688, -44.4135
244.692, -44.4268
244.696, -44.4366
244.7, -44.4311
244.704, -44.4264
244.708, -44.4225
244.712, -44.4191
244.716, -44.4162
244.72, -44.4137
244.724, -44.4023
244.728, -44.3926
244.732, -44.3843
244.736, -44.3773
244.74, -44.362
244.744, -44.349
244.748, -44.3628
244.752, -44.3729
244.756, -44.3675
244.76, -44.363
244.764, -44.3498
244.768, -44.3478
244.772, -44.3369
244.776, -44.3276
244.78, -44.3301
244.784, -44.3491
244.788, -44.3473
244.792, -44.3457
244.796, -44.3351
244.8, -44.3167
244.804, -44.3104
244.808, -44.3176
244.812, -44.34
244.816, -44.3563
244.82, -44.3853
244.824, -44.4236
244.828, -44.4342
244.832, -44.4291
244.836, -44.4247
244.84, -44.4522
244.844, -44.4894
244.848, -44.4854
244.852, -44.4634
244.856, -44.4447
244.86, -44.4287
244.864, -44.4244
244.868, -44.4207
244.872, -44.399
244.876, -44.3712
244.88, -44.3476
244.884, -44.3274
244.888, -44.3195
244.892, -44.3127
244.896, -44.307
244.9, -44.3021
244.904, -44.2979
244.908, -44.2944
244.912, -44.2913
244.916, -44.2888
244.92, -44.2866
244.924, -44.3003
244.928, -44.3102
244.932, -44.3347
244.936, -44.3524
244.94, -44.3653
244.944, -44.3747
244.948, -44.3815
244.952, -44.3749
244.956, -44.3692
244.96, -44.3551
244.964, -44.3431
244.968, -44.3422
244.972, -44.3321
244.976, -44.3142
244.98, -44.299
244.984, -44.286
244.988, -44.2842
244.992, -44.2827
244.996, -44.2721
245, -44.2631
245.004, -44.266
245.008, -44.2682
245.012, -44.2698
245.016, -44.2709
245.02, -44.2718
245.024, -44.3411
245.028, -44.3743
245.032, -44.3813
245.036, -44.3863
245.04, -44.4071
245.044, -44.4222
245.048, -44.4332
245.052, -44.4412
245.056, -44.4258
245.06, -44.4033
245.064, -44.3935
245.068, -44.3951
245.072, -44.3865
245.076, -44.3901
245.08, -44.3927
245.084, -44.3844
245.088, -44.3773
245.092, -44.3713
245.096, -44.3662
245.1, -44.3619
245.104, -44.3581
245.108, -44.3695
245.112, -44.3777
245.116, -44.3837
245.12, -44.4052
245.124, -44.4208
245.128, -44.4494
245.132, -44.4873
245.136, -44.5149
245.14, -44.5177
245.144, -44.5095
245.148, -44.5025
245.152, -44.4873
245.156, -44.4744
245.16, -44.4633
245.164, -44.4538
245.168, -44.4458
245.172, -44.4389
245.176, -44.4238
245.18, -44.4109
245.184, -44.4
245.188, -44.3999
