sim_time, uav1/rotor_2_joint?0/velocity
245.26, -44.2814
245.264, -44.2965
245.268, -44.3419
245.272, -44.3921
245.276, -44.4285
245.28, -44.455
245.284, -44.457
245.288, -44.4485
245.292, -44.4523
245.296, -44.4722
245.3, -44.4707
245.304, -44.4602
245.308, -44.442
245.312, -44.4171
245.316, -44.3959
245.32, -44.3779
245.324, -44.3718
245.328, -44.3666
245.332, -44.3529
245.336, -44.3319
245.34, -44.3233
245.344, -44.3442
245.348, -44.3765
245.352, -44.4
245.356, -44.3999
245.36, -44.3999
245.364, -44.3998
245.368, -44.3998
245.372, -44.3997
245.376, -44.3997
245.38, -44.3904
245.384, -44.3731
245.388, -44.3585
245.392, -44.3697
245.396, -44.3648
245.4, -44.3607
245.404, -44.3571
245.408, -44.3541
245.412, -44.3422
245.416, -44.3321
245.42, -44.3235
245.424, -44.3271
245.428, -44.3193
245.432, -44.3033
245.436, -44.2989
245.44, -44.2952
245.444, -44.3066
245.448, -44.3148
245.452, -44.3088
245.456, -44.2943
245.46, -44.282
245.464, -44.2808
245.468, -44.3133
245.472, -44.3541
245.476, -44.3837
245.48, -44.4052
245.484, -44.4209
245.488, -44.4322
245.492, -44.4576
245.496, -44.449
245.5, -44.4324
245.504, -44.409
245.508, -44.389
245.512, -44.372
245.516, -44.3575
245.52, -44.3358
245.524, -44.3081
245.528, -44.2938
245.532, -44.2815
245.536, -44.2711
245.54, -44.253
245.544, -44.2282
245.548, -44.2257
245.552, -44.2561
245.556, -44.3126
245.56, -44.3708
245.564, -44.4131
245.568, -44.4266
245.572, -44.4364
245.576, -44.4309
245.58, -44.4263
245.584, -44.413
245.588, -44.4017
245.592, -44.3828
245.596, -44.3667
245.6, -44.3437
245.604, -44.3241
245.608, -44.3074
245.612, -44.2839
245.616, -44.2638
245.62, -44.2666
245.624, -44.2686
245.628, -44.27
245.632, -44.2711
245.636, -44.289
245.64, -44.3365
245.644, -44.371
245.648, -44.396
245.652, -44.4141
245.656, -44.4273
245.66, -44.4369
245.664, -44.4439
245.668, -44.4489
245.672, -44.4416
245.676, -44.4473
245.68, -44.4402
245.684, -44.4249
245.688, -44.4026
245.692, -44.3928
245.696, -44.3845
245.7, -44.3775
245.704, -44.3622
245.708, -44.3398
245.712, -44.3301
245.716, -44.3218
245.72, -44.3054
245.724, -44.2822
245.728, -44.2717
245.732, -44.2723
245.736, -44.3071
245.74, -44.3324
245.744, -44.3238
245.748, -44.3071
245.752, -44.3022
245.756, -44.346
245.76, -44.3779
245.764, -44.3718
245.768, -44.3481
245.772, -44.3371
245.776, -44.337
245.78, -44.337
245.784, -44.3713
245.788, -44.3569
245.792, -44.3261
245.796, -44.3091
245.8, -44.3039
245.804, -44.2901
245.808, -44.2692
245.812, -44.2606
245.816, -44.2814
245.82, -44.2966
245.824, -44.2932
245.828, -44.2811
245.832, -44.2707
245.836, -44.2619
245.84, -44.2652
245.844, -44.2848
245.848, -44.2832
245.852, -44.2818
245.856, -44.314
245.86, -44.3546
245.864, -44.4013
245.868, -44.4352
245.872, -44.4427
245.876, -44.4481
245.88, -44.4692
245.884, -44.4845
245.888, -44.4956
245.892, -44.4814
245.896, -44.46
245.9, -44.4325
245.904, -44.4183
245.908, -44.4155
245.912, -44.4132
245.916, -44.3926
245.92, -44.3565
245.924, -44.3165
245.928, -44.273
245.932, -44.236
245.936, -44.2138
245.94, -44.2134
245.944, -44.2299
245.948, -44.242
245.952, -44.2679
245.956, -44.2868
245.96, -44.3176
245.964, -44.3745
245.968, -44.4501
245.972, -44.5051
245.976, -44.545
245.98, -44.5739
245.984, -44.5778
245.988, -44.57
245.992, -44.5633
245.996, -44.5484
246, -44.5264
246.004, -44.4984
246.008, -44.4559
246.012, -44.4104
246.016, -44.3624
246.02, -44.3122
246.024, -44.2694
246.028, -44.2422
246.032, -44.2283
246.036, -44.2165
246.04, -44.2064
246.044, -44.1978
246.048, -44.2015
246.052, -44.2385
246.056, -44.2826
246.06, -44.3146
246.064, -44.3379
246.068, -44.3719
246.072, -44.4139
246.076, -44.4615
246.08, -44.4961
246.084, -44.5385
246.088, -44.552
246.092, -44.5387
246.096, -44.5182
246.1, -44.5006
246.104, -44.495
246.108, -44.5032
246.112, -44.4879
246.116, -44.4562
246.12, -44.4107
246.124, -44.3626
246.128, -44.3124
246.132, -44.2788
246.136, -44.2595
246.14, -44.2524
246.144, -44.237
246.148, -44.2239
246.152, -44.222
246.156, -44.2362
246.16, -44.2637
246.164, -44.3009
246.168, -44.3279
246.172, -44.3475
246.176, -44.3618
246.18, -44.4065
246.184, -44.439
246.188, -44.4626
246.192, -44.4625
246.196, -44.4625
246.2, -44.4625
246.204, -44.4439
246.208, -44.4187
246.212, -44.388
246.216, -44.3526
246.22, -44.3316
246.224, -44.3231
246.228, -44.3065
246.232, -44.2832
246.236, -44.2632
246.24, -44.2555
246.244, -44.249
246.248, -44.2341
246.252, -44.2307
246.256, -44.2278
246.26, -44.292
246.264, -44.3387
246.268, -44.3553
246.272, -44.3674
246.276, -44.3762
246.28, -44.3998
246.284, -44.4169
246.288, -44.4465
246.292, -44.4853
246.296, -44.4962
246.3, -44.4819
246.304, -44.4604
246.308, -44.4421
246.312, -44.4173
246.316, -44.3961
246.32, -44.378
246.324, -44.3348
246.328, -44.2979
246.332, -44.2851
246.336, -44.2834
246.34, -44.298
246.344, -44.2944
246.348, -44.2728
246.352, -44.2451
246.356, -44.2308
246.36, -44.2279
246.364, -44.2405
246.368, -44.2496
246.372, -44.2735
246.376, -44.308
246.38, -44.3331
246.384, -44.3513
246.388, -44.3817
246.392, -44.3866
246.396, -44.4073
246.4, -44.4062
246.404, -44.3959
246.408, -44.3779
246.412, -44.3625
246.416, -44.3401
246.42, -44.3025
246.424, -44.2704
246.428, -44.2616
246.432, -44.265
246.436, -44.257
246.44, -44.2409
246.444, -44.2365
246.448, -44.2235
246.452, -44.2216
246.456, -44.236
246.46, -44.2635
246.464, -44.2836
246.468, -44.2981
246.472, -44.3087
246.476, -44.3336
246.48, -44.3516
246.484, -44.3819
246.488, -44.4211
246.492, -44.4324
246.496, -44.4276
246.5, -44.4234
246.504, -44.4199
246.508, -44.4076
246.512, -44.3878
246.516, -44.371
246.52, -44.3474
246.524, -44.3179
246.528, -44.2929
246.532, -44.2715
246.536, -44.2533
246.54, -44.247
246.544, -44.2544
246.548, -44.2597
246.552, -44.2808
246.556, -44.2961
246.56, -44.3072
246.564, -44.3153
246.568, -44.3212
246.572, -44.3426
246.576, -44.3926
246.58, -44.4289
246.584, -44.4245
246.588, -44.4023
246.592, -44.374
246.596, -44.3592
246.6, -44.3466
246.604, -44.3358
246.608, -44.3267
246.612, -44.3096
246.616, -44.2857
246.62, -44.2747
246.624, -44.2746
246.628, -44.2916
246.632, -44.3039
246.636, -44.3129
246.64, -44.3194
246.644, -44.3242
246.648, -44.3448
246.652, -44.3436
246.656, -44.3589
246.66, -44.37
246.664, -44.3781
246.668, -44.3839
246.672, -44.3882
246.676, -44.4085
246.68, -44.4232
246.684, -44.4339
246.688, -44.4288
246.692, -44.4244
246.696, -44.4348
246.7, -44.4296
246.704, -44.4251
246.708, -44.4213
246.712, -44.4088
246.716, -44.3889
246.72, -44.3719
246.724, -44.3667
246.728, -44.3757
246.732, -44.3822
246.736, -44.3869
246.74, -44.3904
246.744, -44.3929
246.748, -44.4119
246.752, -44.41
246.756, -44.4085
246.76, -44.4072
246.764, -44.4223
246.768, -44.4504
246.772, -44.4537
246.776, -44.456
246.78, -44.4578
246.784, -44.459
246.788, -44.4599
246.792, -44.451
246.796, -44.4434
246.8, -44.4276
246.804, -44.4141
246.808, -44.412
246.812, -44.4009
246.816, -44.3821
246.82, -44.3754
246.824, -44.382
246.828, -44.3868
246.832, -44.3903
246.836, -44.41
246.84, -44.4243
246.844, -44.4347
246.848, -44.4595
246.852, -44.4946
246.856, -44.5202
246.86, -44.5387
246.864, -44.5522
246.868, -44.5482
246.872, -44.5355
246.876, -44.5247
246.88, -44.5155
246.884, -44.5076
246.888, -44.5009
246.892, -44.4952
246.896, -44.4903
246.9, -44.4862
246.904, -44.514
246.908, -44.5343
246.912, -44.5236
246.916, -44.5146
246.92, -44.5175
246.924, -44.5093
246.928, -44.4931
246.932, -44.4792
246.936, -44.4674
246.94, -44.4574
246.944, -44.4587
246.948, -44.4769
246.952, -44.4901
246.956, -44.5169
246.96, -44.5364
246.964, -44.5347
246.968, -44.524
246.972, -44.5056
246.976, -44.4899
246.98, -44.4765
246.984, -44.4651
246.988, -44.4554
246.992, -44.4573
246.996, -44.4488
247, -44.4415
247.004, -44.4472
247.008, -44.4685
247.012, -44.4676
247.016, -44.4575
247.02, -44.4489
247.024, -44.4526
247.028, -44.4552
247.032, -44.447
247.036, -44.4214
247.04, -44.3996
247.044, -44.3996
247.048, -44.4168
247.052, -44.4464
247.056, -44.468
247.06, -44.4672
247.064, -44.4664
247.068, -44.4825
247.072, -44.4942
247.076, -44.5026
247.08, -44.4967
247.084, -44.4823
247.088, -44.4701
247.092, -44.4596
247.096, -44.4507
247.1, -44.4539
247.104, -44.4562
247.108, -44.4579
247.112, -44.4935
247.116, -44.5194
247.12, -44.5381
247.124, -44.5362
247.128, -44.5346
247.132, -44.5492
247.136, -44.5598
247.14, -44.5675
247.144, -44.5427
247.148, -44.5215
247.152, -44.5035
247.156, -44.4788
247.16, -44.4578
247.164, -44.4306
247.168, -44.4075
247.172, -44.3877
247.176, -44.3802
247.18, -44.3737
247.184, -44.359
247.188, -44.3371
247.192, -44.3278
247.196, -44.3474
247.2, -44.3961
247.204, -44.4315
247.208, -44.4571
247.212, -44.493
247.216, -44.5362
247.22, -44.5504
247.224, -44.5607
247.228, -44.5853
247.232, -44.6032
247.236, -44.601
247.24, -44.5898
247.244, -44.5709
247.248, -44.5363
247.252, -44.5068
247.256, -44.491
247.26, -44.4682
247.264, -44.4487
247.268, -44.4322
247.272, -44.4088
247.276, -44.3888
247.28, -44.3719
247.284, -44.3574
247.288, -44.3689
247.292, -44.3945
247.296, -44.4131
247.3, -44.4438
247.304, -44.4832
