sim_time, uav1/rotor_2_joint?0/velocity
118.456, -44.5877
118.46, -44.8805
118.464, -45.1446
118.468, -45.4911
118.472, -45.8804
118.476, -46.2662
118.48, -46.5635
118.484, -46.7622
118.488, -46.673
118.492, -46.504
118.496, -46.3599
118.5, -46.1351
118.504, -45.7764
118.508, -45.3964
118.512, -45.0077
118.516, -44.63
118.52, -44.2803
118.524, -43.9636
118.528, -43.6938
118.532, -43.3617
118.536, -43.1344
118.54, -43.0057
118.544, -42.8682
118.548, -42.7881
118.552, -42.8165
118.556, -43.0092
118.56, -43.321
118.564, -43.7367
118.568, -44.0214
118.572, -44.3656
118.576, -44.7188
118.58, -45.044
118.584, -45.349
118.588, -45.536
118.592, -45.6546
118.596, -45.7064
118.6, -45.6988
118.604, -45.488
118.608, -45.2247
118.612, -44.9447
118.616, -44.6412
118.62, -44.3268
118.624, -43.9753
118.628, -43.5922
118.632, -43.2472
118.636, -42.9626
118.64, -42.7478
118.644, -42.574
118.648, -42.491
118.652, -42.448
118.656, -42.535
118.66, -42.7358
118.664, -43.0536
118.668, -43.3703
118.672, -43.6863
118.676, -44.0534
118.68, -44.4404
118.684, -44.8073
118.688, -45.0739
118.692, -45.3018
118.696, -45.4673
118.7, -45.5358
118.704, -45.5349
118.708, -45.4597
118.712, -45.3492
118.716, -45.1808
118.72, -44.9816
118.724, -44.6447
118.728, -44.3205
118.732, -44.0072
118.736, -43.6937
118.74, -43.408
118.744, -43.1553
118.748, -42.9121
118.752, -42.742
118.756, -42.597
118.76, -42.5385
118.764, -42.6008
118.768, -42.8181
118.772, -43.0619
118.776, -43.3937
118.78, -43.7894
118.784, -44.2144
118.788, -44.5746
118.792, -44.9566
118.796, -45.3028
118.8, -45.6573
118.804, -45.932
118.808, -46.0283
118.812, -46.0638
118.816, -46.0406
118.82, -46.1243
118.824, -46.1015
118.828, -46.017
118.832, -45.8707
118.836, -45.6996
118.84, -45.5074
118.844, -45.3065
118.848, -45.1352
118.852, -44.9986
118.856, -44.8451
118.86, -44.6956
118.864, -44.5776
118.868, -44.5048
118.872, -44.4521
118.876, -44.3979
118.88, -44.536
118.884, -44.6706
118.888, -44.7684
118.892, -44.891
118.896, -45.0316
118.9, -45.1854
118.904, -45.3658
118.908, -45.514
118.912, -45.7592
118.916, -45.9545
118.92, -46.0791
