sim_time, uav1/rotor_3_joint?0/velocity
117.836, -44.024
117.84, -44.0578
117.844, -44.0824
117.848, -44.1002
117.852, -44.1304
117.856, -44.1695
117.86, -44.1979
117.864, -44.2013
117.868, -44.1841
117.872, -44.1694
117.876, -44.129
117.88, -44.0946
117.884, -44.0561
117.888, -44.0639
117.892, -44.0577
117.896, -44.0525
117.9, -44.0613
117.904, -44.1022
117.908, -44.1662
117.912, -44.23
117.916, -44.2934
117.92, -44.3223
117.924, -44.3433
117.928, -44.3929
117.932, -44.4462
117.936, -44.4676
117.94, -44.4668
117.944, -44.466
117.948, -44.4821
117.952, -44.4698
117.956, -44.4501
117.96, -44.4147
117.964, -44.366
117.968, -44.3152
117.972, -44.2626
117.976, -44.2178
117.98, -44.1889
117.984, -44.1736
117.988, -44.1698
117.992, -44.1666
117.996, -44.1787
118, -44.1875
118.004, -44.1939
118.008, -44.2329
118.012, -44.3129
118.016, -44.4053
118.02, -44.4897
118.024, -44.5509
118.028, -44.5782
118.032, -44.6152
118.036, -44.6421
118.04, -44.6616
118.044, -44.6758
118.048, -44.6861
118.052, -44.6715
118.056, -44.6499
118.06, -44.6221
118.064, -44.5892
118.068, -44.5519
118.072, -44.5201
118.076, -44.4837
118.08, -44.4527
118.084, -44.4356
118.088, -44.4302
118.092, -44.4562
118.096, -44.3736
118.1, -44.3032
118.104, -44.2431
118.108, -44.192
118.112, -43.972
118.116, -43.7567
118.12, -43.5918
118.124, -43.4606
118.128, -43.1724
118.132, -42.9454
118.136, -42.7983
118.14, -42.738
118.144, -42.7631
118.148, -42.9189
118.152, -43.2212
118.156, -43.117
118.16, -43.1116
118.164, -43.0235
118.168, -43.0227
118.172, -42.9849
118.176, -43.0284
118.18, -43.1632
118.184, -43.3814
118.188, -43.6431
118.192, -43.7128
118.196, -43.9009
118.2, -44.1407
118.204, -44.4008
118.208, -44.6069
118.212, -44.7737
118.216, -44.9293
118.22, -45.0594
118.224, -45.1712
118.228, -45.2695
118.232, -45.2721
118.236, -45.2639
118.24, -45.2569
118.244, -45.2416
118.248, -45.1915
118.252, -45.1302
118.256, -45.0502
118.26, -44.9541
118.264, -44.8629
118.268, -44.7853
118.272, -44.7191
118.276, -44.6719
118.28, -44.6503
118.284, -44.6506
118.288, -44.7024
118.292, -44.74
118.296, -44.819
118.3, -44.9279
118.304, -45.4198
118.308, -45.8287
118.312, -46.1772
118.316, -46.7399
118.32, -47.3205
118.324, -47.7421
118.328, -48.031
118.332, -48.4128
118.336, -48.5869
118.34, -48.5808
118.344, -48.4642
118.348, -48.3556
118.352, -48.1516
118.356, -47.8571
118.36, -47.4854
118.364, -47.0573
118.368, -46.5903
118.372, -46.0902
118.376, -45.5805
118.38, -45.0997
118.384, -44.6808
118.388, -44.5187
118.392, -44.8476
118.396, -45.2069
118.4, -45.6397
118.404, -46.1261
118.408, -46.806
118.412, -47.4717
118.416, -47.9552
118.42, -48.4438
118.424, -48.7814
118.428, -48.9405
118.432, -48.9192
118.436, -48.7989
118.44, -48.7521
118.444, -48.5822
118.448, -48.2889
118.452, -47.8997
118.456, -47.438
118.46, -47.0818
118.464, -46.7225
118.468, -46.3327
118.472, -45.917
118.476, -45.507
118.48, -45.1391
118.484, -44.8349
118.488, -44.687
118.492, -44.6352
118.496, -44.5911
118.5, -44.7107
118.504, -45.0555
118.508, -45.4263
118.512, -45.7988
118.516, -46.1552
118.52, -46.4484
118.524, -46.6957
118.528, -46.8581
118.532, -47.0791
118.536, -47.1536
118.54, -47.1085
118.544, -47.07
118.548, -46.9908
118.552, -46.8304
118.556, -46.6101
118.56, -46.3297
118.564, -45.9978
118.568, -45.6965
118.572, -45.3654
118.576, -45.0275
118.58, -44.6839
118.584, -44.3633
118.588, -44.1179
118.592, -43.9088
