,uav1_x,uav1_y,uav1_z,uav2_x,uav2_y,uav2_z,uav3_x,uav3_y,uav3_z,uav4_x,uav4_y,uav4_z,uav5_x,uav5_y,uav5_z,uav6_x,uav6_y,uav6_z,uav7_x,uav7_y,uav7_z,uav8_x,uav8_y,uav8_z,uav9_x,uav9_y,uav9_z
0,-1.9476667652309694,-1.91490683682445,2.5433506595701494,11.635495435082746,-1.8914874722144546,2.2972333904116793,8.2966821686715,8.250068701953039,2.1359444367117724,-0.9644566801552167,10.705198426954002,2.996173331620126,-7.8088274746782,7.541589421820052,2.905714137195118,-10.456742540199565,-0.3597731972455665,2.74286832953853,-7.408711793100927,-7.3076255473021705,2.6235790125025513,-0.47399064436998783,-10.298497550977261,2.782351599059395,6.883887444646249,-7.301671120416829,2.643767656569447
1,-3.030435661551295,-3.010866090322932,3.7996215271686897,13.234854064729888,-2.9935261665993838,3.298338886448498,9.922779767570498,9.921743232271284,2.9544545827115245,-2.350095577583762,12.098343323664409,3.667211371875279,-9.01013873263138,8.538981131089237,3.449825280068665,-11.330701431714841,-1.1402128433931806,3.139378458509471,-8.025946354643303,-7.949881444501594,2.8976986242221865,-1.056690708347141,-10.898334195442509,3.0510102819053713,7.30579556145811,-7.715774495084271,2.8092237140987097
2,-4.372387228764355,-4.348398683211543,6.020016183301266,14.870788937248992,-4.206666929815946,5.603233034053514,12.57657058454938,12.539439939752091,5.116241679725792,-3.997439256316402,14.743104439484286,5.786399969728342,-12.657348763048217,9.67098950368116,4.829295703263077,-14.602294848252251,-2.056298427592342,4.591827394209538,-10.8527686995804,-10.837407485745265,3.932221290119204,-2.1106560117189,-13.753430241913893,4.438380800272459,8.943233345480273,-10.260662843681532,4.0123951871538095
3,-5.7116663935546255,-5.689384608036246,7.949298188987999,16.58165258544439,-5.444093131800883,7.650855784697149,14.404996916947356,14.29423353412629,7.5441979342721055,-5.466461662803095,16.62043676139139,8.239061420503619,-16.90573522500095,10.922557749449583,5.764896713247367,-19.196748826831605,-2.939719586769646,5.658252279799005,-14.571928031193908,-14.495273717560105,4.831639876720705,-3.0412921632604495,-18.33663482854856,5.625417993296029,10.151729134718485,-14.959791537073391,5.111980774653691
4,-6.8637687769176,-6.830212023566015,9.336786119542708,17.977741751539273,-6.619954625021974,9.060953206813917,16.132304167086378,16.067952288267236,9.304369456798822,-6.686577548650599,18.117096221433112,10.081954384738362,-19.55330801762951,12.000951244685748,6.72362160221362,-22.120419154702088,-3.712073003392635,6.737837101030923,-16.627126504867558,-16.504129623750494,5.68231937189324,-3.799543372545199,-21.624569551664198,6.590060663981608,10.95992253996872,-17.631825346722636,6.04594181234986
5,-8.122692160025753,-8.098045244765423,10.683719502299542,19.553502070012303,-7.879115554840451,10.395223254400516,17.954649148360133,17.889373507606,10.81853998523046,-8.161053336727838,19.96646629985077,11.597907780550544,-22.1992047193116,13.089558938355706,7.593692320176102,-24.947832996945476,-4.6000503576885095,7.6168802139703535,-18.743042666935857,-18.64407414040611,6.38671572896097,-4.643856491045691,-24.306228566437174,7.5282323550625305,12.126205228827827,-20.272928252065004,6.8727978077961245
6,-9.340823506959424,-9.312182032195606,12.054837504675245,21.10478799241861,-9.12066505933648,11.814358960698303,19.796135249337418,19.752769476829116,12.307869913326288,-9.520171930390603,21.64981601355064,13.069396813671021,-24.998648640234858,14.188870667396088,8.466835705741772,-27.578279460179132,-5.421759801098587,8.528615526583701,-21.003206016191726,-20.897424064689506,7.063540987705356,-5.441853399309651,-26.847859235826043,8.426318643882906,13.149796921721872,-22.764004884391795,7.757266863597588
7,-10.587997903654452,-10.564120089023785,13.520197213339156,22.601077106473845,-10.322458907012944,13.215120978470717,21.60617512272072,21.558778291320813,13.823632878633616,-10.946788897248787,23.432663739030776,14.643682699193203,-27.68893532819875,15.267526986768225,9.365056231047975,-30.346632473971916,-6.2828810788751195,9.478797033198557,-23.315043372786015,-23.22050663562403,7.813428598240921,-6.278708685117801,-29.63253903329507,9.328702105200124,14.279725819305472,-25.494787556771513,8.581348433700644
8,-11.784005840219962,-11.760669543036178,14.877506995094148,24.194658573984995,-11.57893777150776,14.638305714302266,23.439635012603652,23.39831811125721,15.337633444339543,-12.307707760758552,25.128634158725745,16.158994909221555,-30.373740289654222,16.340816726634493,10.208798617402506,-33.111773112310644,-7.128339918649919,10.411546834769403,-25.444510436702053,-25.35826605027353,8.524368036623986,-7.077393052449751,-32.27493020455806,10.216560441090106,15.226018655091952,-27.897795309227096,9.372486507555422
9,-13.095875547949207,-13.068572574027142,16.372650415080727,25.830928632863266,-12.906405883857378,16.133920051336265,25.30688917699133,25.289431216408527,16.86310602739044,-13.79616796596418,26.968776600714914,17.685128159118694,-33.1772920234742,17.502942028374097,11.14227930790959,-35.90038358376788,-8.003337746554436,11.373596571947362,-27.85022262242613,-27.751531736906045,9.322337464663054,-7.968646560230238,-35.10526909432913,11.128962347432404,16.437425702188005,-30.794000598758146,10.296466157148362
