foo,time,x,y,z
56,56,1.0077918746469359,0.00833816606240573,10.001101581766621
57,57,0.6074566302007576,0.39160588444153527,9.954042953158675
58,58,0.15531040804919247,0.8445533101753361,10.05416030615264
59,59,0.01859398551181603,1.0202440992511417,10.030262044833185
60,60,0.008377023963654563,1.0182396036523724,10.018623559504753
61,61,-0.0003662861719929327,1.0170865533124165,10.003236188304387
62,62,0.00015357023496088892,1.013101755672587,10.00119287526468
63,63,-0.008278740809654524,1.0170127966803781,9.992149387235118
64,64,-0.03983407483785591,1.0558903566118634,9.984654571442206
65,65,-1.4616459792360088,2.441644460098931,9.854524009307424
66,66,-4.632800641058792,5.253605566526618,9.873212564593258
67,67,-7.4611885026133615,7.78699462531079,9.942942103838657
68,68,-9.243328492525201,9.366670046194377,10.050450328729305
69,69,-9.838661429127935,9.934385157808661,10.158095413074351
70,70,-9.991788764607731,10.010374298555439,10.083096246169887
71,71,-9.998222491031404,10.024000802353585,10.026456680985964
72,72,-10.00760348549884,10.018191853410405,9.989773232445415
73,73,-10.015279735359291,10.02392791079814,9.980021559691064
74,74,-10.008590314600834,10.015524588348708,9.981430639692004
75,75,-10.003149879177396,10.01743249022763,9.991327100140081
76,76,-10.005900576429857,10.016916891331759,9.985979919975257
77,77,-10.00905299804722,10.014404050428931,9.994221762326882
78,78,-10.40478766856347,10.404029854046263,9.881952617831999
79,79,-12.64899980612373,12.60221652120719,9.880847998288434
80,80,-15.466262046628067,15.422955796182968,9.855387524710945
81,81,-18.416183905806204,18.422427847578202,9.954647496643837
82,82,-21.325243243024524,21.322172408476714,9.954163631249983
83,83,-24.204320760823197,24.20458657776847,9.967964781658516
84,84,-26.878035019690756,26.88029192617939,9.991023924579556
85,85,-29.97048823363222,29.9673895588396,9.985618166075064
86,86,-33.08585520095073,33.071736048568376,9.980680591949385
87,87,-35.78393004979333,35.77368905406982,10.011987959146701
88,88,-38.644957655113366,38.6305854670013,9.998537212966959
89,89,-41.682988526416864,41.66596281520546,9.991366014971426
90,90,-44.550918890105514,44.53891495102975,9.991975997557605
91,91,-47.38266792203509,47.374163218227906,9.98637578324093
92,92,-50.45419495270329,50.43479380354369,10.014953673773787
93,93,-53.41764768105589,53.41156849301831,10.031057735532798
94,94,-56.44445542022371,56.42621820222908,10.01907548747765
95,95,-58.58623090753251,58.591776609418226,10.096419118909528
96,96,-59.66924969872827,59.68253546567776,10.149616486402536
97,97,-59.986851989774145,59.99092800010528,10.138935194864652
98,98,-60.00959530393864,60.01692254377549,10.098181561161608
99,99,-60.040058502920296,60.024287738016575,10.034333004475943
100,100,-60.044806439810316,60.0267986104655,10.014913461721617
101,101,-60.04652538057054,60.02926097573718,9.996898259950118
102,102,-60.04350100278667,60.02847732080341,9.990098918778731
103,103,-60.038204117984336,60.02479229474994,10.466184993719454
104,104,-60.04088753366187,60.01110174681108,11.960792013122969
105,105,-60.04485424536802,60.01307236107125,13.988797654481278
106,106,-60.034269142187824,60.03147156868747,16.03228851229935
107,107,-60.02397000162862,60.023073450345585,18.207290492644226
108,108,-60.02464307186947,60.023871390386105,20.249240617262227
109,109,-60.025608685822434,60.019371269108106,22.219841504045743
110,110,-60.021411252157,60.021037754625546,24.423652516803212
111,111,-60.028983278540174,60.02738222319255,26.479337737954875
112,112,-60.02105142994493,60.023392537793754,28.428217008132705
113,113,-60.0241387546112,60.02300178738671,30.64188079325613
114,114,-60.026854286363886,60.02121044873123,32.713432177478
115,115,-60.02744948136666,60.02055867331536,34.9369855891465
116,116,-60.01886225466673,60.02229865922353,37.15396994812442
117,117,-60.01748207051962,60.021935548817765,39.156957204370876
118,118,-60.0235174152067,60.017278179009146,41.143087185492746
119,119,-60.02113903170902,60.01909859910489,40.16774825216906
120,120,-60.08822538812011,59.95922094029299,40.429615374595315
