sim_time, uav1/rotor_2_joint?0/velocity
330.068, -48.3845
330.072, -48.3525
330.076, -48.3159
330.08, -48.2847
330.084, -48.2581
330.088, -48.254
330.092, -48.2505
330.096, -48.2383
330.1, -48.2279
330.104, -48.2458
330.108, -48.3276
330.112, -48.4042
330.116, -48.4598
330.12, -48.4259
330.124, -48.397
330.128, -48.403
330.132, -48.4073
330.136, -48.4277
330.14, -48.4263
330.144, -48.3973
330.148, -48.3726
330.152, -48.3852
330.156, -48.3944
330.16, -48.401
330.164, -48.4231
330.168, -48.5251
330.172, -48.6163
330.176, -48.6825
330.18, -48.7134
330.184, -48.7187
330.188, -48.7225
330.192, -48.7147
330.196, -48.6802
330.2, -48.6509
330.204, -48.6351
330.208, -48.6031
330.212, -48.5758
330.216, -48.5339
330.22, -48.4797
330.224, -48.4242
330.228, -48.3862
330.232, -48.3353
330.236, -48.2919
330.24, -48.2456
330.244, -48.2247
330.248, -48.207
330.252, -48.2133
330.256, -48.2352
330.26, -48.2682
330.264, -48.361
330.268, -48.4283
330.272, -48.5459
330.276, -48.6485
330.28, -48.7574
330.284, -48.8365
330.288, -48.8768
330.292, -48.906
330.296, -48.9272
330.3, -48.8891
330.304, -48.8195
330.308, -48.7416
330.312, -48.6474
330.316, -48.5485
330.32, -48.4549
330.324, -48.3566
330.328, -48.2542
330.332, -48.167
330.336, -48.0649
330.34, -47.9778
330.344, -47.9222
330.348, -47.8749
330.352, -47.8253
330.356, -47.8108
330.36, -47.8568
330.364, -47.9762
330.368, -48.1316
330.372, -48.3133
330.376, -48.4796
330.38, -48.6691
330.384, -48.8411
330.388, -48.9489
330.392, -49.0271
330.396, -49.084
330.4, -49.1081
330.404, -49.1084
330.408, -49.09
330.412, -49.0465
330.416, -48.9908
330.42, -48.9155
330.424, -48.8328
330.428, -48.7437
330.432, -48.6492
330.436, -48.5501
330.44, -48.4563
330.444, -48.4043
330.448, -48.3507
330.452, -48.3144
330.456, -48.3113
330.46, -48.3407
330.464, -48.3793
330.468, -48.3902
330.472, -48.4153
330.476, -48.4334
330.48, -48.4466
330.484, -48.4562
330.488, -48.4804
