sim_time, uav1/rotor_3_joint?0/velocity
329.88, -48.4934
329.884, -48.5074
329.888, -48.5348
329.892, -48.5719
329.896, -48.5989
329.9, -48.5909
329.904, -48.5748
329.908, -48.561
329.912, -48.54
329.916, -48.5129
329.92, -48.4804
329.924, -48.4342
329.928, -48.3855
329.932, -48.3533
329.936, -48.3259
329.94, -48.3025
329.944, -48.2826
329.948, -48.2563
329.952, -48.234
329.956, -48.2149
329.96, -48.1801
329.964, -48.1504
329.968, -48.1437
329.972, -48.138
329.976, -48.1462
329.98, -48.1865
329.984, -48.2502
329.988, -48.3136
329.992, -48.3597
329.996, -48.4103
330, -48.4643
330.004, -48.5206
330.008, -48.5616
330.012, -48.5404
330.016, -48.5132
330.02, -48.4993
330.024, -48.4874
330.028, -48.4587
330.032, -48.4436
330.036, -48.4214
330.04, -48.4117
330.044, -48.3942
330.048, -48.3793
330.052, -48.3573
330.056, -48.3293
330.06, -48.371
330.064, -48.4185
330.068, -48.453
330.072, -48.4952
330.076, -48.5431
330.08, -48.5779
330.084, -48.6031
330.088, -48.5945
330.092, -48.5871
330.096, -48.5926
330.1, -48.5966
330.104, -48.5796
330.108, -48.528
330.112, -48.4654
330.116, -48.4121
330.12, -48.4483
330.124, -48.4575
330.128, -48.4425
330.132, -48.4297
330.136, -48.4188
330.14, -48.4095
330.144, -48.4464
330.148, -48.456
330.152, -48.4319
330.156, -48.4114
330.16, -48.3939
330.164, -48.379
330.168, -48.3106
330.172, -48.2522
330.176, -48.2025
330.18, -48.1602
330.184, -48.1334
330.188, -48.1291
330.192, -48.1568
330.196, -48.2285
330.2, -48.2634
330.204, -48.2585
330.208, -48.2679
330.212, -48.3092
330.216, -48.3563
330.22, -48.4078
330.224, -48.4623
330.228, -48.5019
330.232, -48.565
330.236, -48.6109
330.24, -48.6614
330.244, -48.6637
330.248, -48.6653
330.252, -48.6567
330.256, -48.6401
330.26, -48.6074
330.264, -48.5423
330.268, -48.4868
330.272, -48.4024
330.276, -48.3118
330.28, -48.2254
330.284, -48.1332
330.288, -48.0639
330.292, -48.0142
330.296, -47.9718
330.3, -48.0081
330.304, -48.0861
330.308, -48.177
330.312, -48.2947
330.316, -48.4145
330.32, -48.553
330.324, -48.6881
330.328, -48.8033
330.332, -48.9042
330.336, -49.0635
