,uav1_x,uav1_y,uav1_z,uav2_x,uav2_y,uav2_z,uav3_x,uav3_y,uav3_z,uav4_x,uav4_y,uav4_z,uav5_x,uav5_y,uav5_z,uav6_x,uav6_y,uav6_z,uav7_x,uav7_y,uav7_z,uav8_x,uav8_y,uav8_z,uav9_x,uav9_y,uav9_z
0,-0.4559981250308188,-0.5004841488704057,1.265026322828888,9.916690195554477,-0.20330409698864835,1.501906847825961,7.017550195282507,6.884270467483076,2.4894278363806053,-0.09951261099118938,9.863220718958253,2.5071165229688397,-7.194499908121906,6.979374599406243,2.4789691630137627,-10.238260401179684,-0.07714035627885077,2.4489749668137333,-7.319711435656461,-7.20170659449969,2.547159889022174,-0.2054894711941214,-10.153769976143868,2.578249361553975,6.8867320742535005,-7.277253787447184,2.46955121182787
1,-0.2816834033756627,-0.32353173468367974,1.3922084682856255,10.095928106682424,-0.18305375533328438,1.5987376052264393,7.193261662025692,7.0576556625607285,2.5936639086447593,-0.09438441186312754,10.054006491950267,2.592161471516663,-7.349132848804988,7.123069866170654,2.5561888310693957,-10.399908937832006,-0.07365823151026853,2.5321769946365515,-7.470941201053967,-7.364379104300941,2.6311215033579614,-0.1883558504019359,-10.346295215325718,2.666404279696906,7.058530735902974,-7.450667987655043,2.5729248447702626
2,-0.06107491889122905,-0.05965236328673084,2.348734958727248,12.160886993840425,-0.12024746241586605,2.496459017824309,9.143577948750668,9.061584887491538,3.4902729487201274,-0.12842926492625256,12.049450311968032,3.495569349947173,-9.121800350310853,8.82913398142258,3.352999273086213,-12.443737527942561,-0.12905114366669274,3.4129157344391827,-9.279271684279616,-9.237056847266409,3.4475942132906137,-0.13457229109588612,-12.294532070592988,3.5198043174162663,8.99235319090102,-9.334845937502292,3.453049838025212
3,-0.03093575970370421,0.0009309849342922432,4.342032251455688,16.082690557180428,-0.12071548064746414,4.421902857325381,12.210483277996142,12.188165001674067,5.575408433173331,-0.1340696815564337,16.081621473465773,5.496693650590884,-12.060793011458491,11.76210422872919,5.292640798930786,-16.5667477353821,-0.11970244802491652,5.435990855031159,-12.261241467368777,-12.214483701144424,5.434283494681689,-0.11063202088494463,-16.326515128974577,5.548267876522467,11.92740415474765,-12.228856688152177,5.4167309888619295
4,-0.037264361531673715,-0.024235891792445948,6.494264594607322,20.38751970184812,-0.1062041691320106,6.584364544873943,15.314470893559069,15.219735096297784,7.816467737037772,-0.06838631239746623,20.47102808466503,7.74778181285703,-15.149445319875593,15.01324780734126,7.5423949380154856,-21.03590498790798,-0.036523001480581574,7.718550507900031,-15.454365696534504,-15.369074892490914,7.722594614224123,-0.10795084221483411,-20.62318251675586,7.730899514905135,15.010914006884013,-15.278262835104092,7.5811826886831675
5,-0.03107641405947414,-0.006969581032244096,8.479660153021626,24.708982055228475,-0.08070702186232091,8.786923139374672,18.218575364554574,18.161094530985906,9.635861044088733,-0.04106800663194502,24.850754867170643,9.617155401148525,-18.158108499277912,18.083309964773495,9.556188159434678,-25.178850723432767,0.004982910070401249,9.564496695379814,-18.39603143338631,-18.327238982692915,9.646512445890663,-0.08722048408258966,-25.036504072916987,9.631520319161712,18.047225809220446,-18.212313608853822,9.518036251398586
6,-0.012093233416549965,0.0010527770089744175,9.706626240851815,27.98259708847228,-0.042222866454809146,10.11101766760387,20.21717067606458,20.15696701260424,10.337474489698671,-0.005572992017541885,28.09152695235041,10.336551431023695,-20.214047262663,20.20412642084634,10.354112091245705,-28.331251164085838,0.025410240451391043,10.320984226430859,-20.346408949466742,-20.296386187577976,10.348371286990973,-0.06282846050091162,-28.110850216311086,10.343378045006334,20.141539475955486,-20.267045873121983,10.317251230078368
8,-1.1086454445972593,-1.0636627261336102,10.53909009523701,30.64122931631718,-0.7418316377039029,10.480427568635786,21.590302191613585,21.59096073128624,10.309551444295709,-0.22547792395010363,30.182517797424694,10.231296803603081,-21.4584247548719,21.389420963721086,10.24740247026019,-30.06897318601852,-0.07206785493996697,10.143412080220633,-21.262295751774023,-21.2602970958873,10.096970900389838,-0.050030038656307015,-30.049680997558852,10.09491986894052,21.182930813753206,-21.253038764330995,10.097965798434982
9,-2.4141584952949713,-2.3431306878531566,11.164293340779334,31.09064527166452,-1.7741850308277136,10.938115479565823,22.483950045923343,22.517999292975077,10.647943281838975,-0.9081886455645443,30.830879751160133,10.478121830481406,-22.17955337438838,22.020426924088962,10.478198533104488,-30.4530414465481,-0.47626366887515426,10.295045365022588,-21.506462245749912,-21.50289418869742,10.18818241996492,-0.141410433602916,-30.140732117153025,10.111668831503506,21.244080581699095,-21.31298840330663,10.111853545933343
10,-4.188247284482422,-4.222333312101841,13.27968943470235,30.196994001418304,-3.1799095830717428,12.896695679653183,23.10713559438268,23.23883548148747,12.371468564129964,-1.415069769218897,30.744572963199897,12.070000152440782,-22.481390898093142,21.88055907828113,12.018000949447611,-30.116016028248232,-0.6993275650520048,11.539995404878729,-21.161257669222394,-21.13732571419638,11.291977603237278,-0.32581833696790913,-29.529925816243686,10.892540161460223,20.40143359213853,-20.52231416429656,10.846292671723944
