time,rad_s
79.72,41.9476
79.724,41.6691
79.728,41.5616
79.732,41.7705
79.736,42.2489
79.74,42.9575
79.744,43.8161
79.748,44.7147
79.752,45.6253
79.756,46.5101
79.76,47.3418
79.764,48.2553
79.768,48.9015
79.772,49.2847
79.776,49.4253
79.78,49.3411
79.784,49.1208
79.788,48.7659
79.792,48.2871
79.796,47.8791
79.8,47.0486
79.804,46.1925
79.808,45.3608
79.812,44.5779
79.816,43.8735
79.82,43.2548
79.824,42.6625
79.828,42.2507
79.832,42.0296
79.836,41.9991
79.84,42.312
79.844,42.5392
79.848,43.4781
79.852,45.639
79.856,47.5695
79.86,49.195
79.864,50.6162
79.868,51.8202
79.872,52.7976
79.876,53.4559
79.88,53.4446
79.884,53.2307
79.888,52.7976
79.892,52.215
79.896,51.4309
79.9,50.4655
79.904,49.383
79.908,48.2842
79.912,47.1714
79.916,46.1118
79.92,45.1531
79.924,44.4105
79.928,43.8797
79.932,43.6131
79.936,43.5901
79.94,44.0182
79.944,44.8106
79.948,45.9019
79.952,47.1588
79.956,48.4499
79.96,49.8862
79.964,51.2044
79.968,52.3337
79.972,53.1881
79.976,53.585
79.98,53.6667
79.984,53.5315
79.988,53.2027
79.992,52.6904
79.996,52.0125
80.0,51.1935
80.004,50.2728
80.008,49.349
80.012,48.4226
80.016,47.5402
80.02,46.7233
80.024,46.0737
80.028,45.6036
80.032,45.3329
80.036,45.2786
80.04,45.5885
80.044,46.2091
80.048,47.0898
80.052,48.142
80.056,49.3017
80.06,50.4534
80.064,51.5305
80.068,52.3127
80.072,52.9494
80.076,53.3774
80.08,53.5161
80.084,53.6684
80.088,53.5516
80.092,53.2478
80.096,52.794
80.1,52.2031
80.104,51.4396
80.108,50.6683
80.112,49.8718
80.116,49.0817
80.12,48.3434
80.124,47.7514
80.128,47.2469
80.132,46.9097
80.136,46.7523
80.14,46.8135
80.144,47.0815
80.148,47.7233
80.152,48.5677
80.156,49.5421
80.16,50.456
80.164,51.3433
80.168,52.0736
80.172,52.6555
80.176,53.078
80.18,53.2988
80.184,53.2924
80.188,53.1569
80.192,52.8371
80.196,52.3975
80.2,51.8465
80.204,51.2099
80.208,50.5189
80.212,49.8
80.216,49.0854
80.22,48.3928
80.224,47.7748
80.228,47.2667
80.232,46.8987
80.236,46.65
80.24,46.438
80.244,46.5852
80.248,46.9843
80.252,47.2742
80.256,47.9318
80.26,48.6846
80.264,49.4032
80.268,50.1142
80.272,50.7509
80.276,51.282
80.28,51.6676
80.284,51.896
80.288,51.9414
80.292,51.6063
80.296,51.2
80.3,50.7237
80.304,50.1694
80.308,49.5577
80.312,48.9066
80.316,48.2403
80.32,47.589
80.324,46.9875
80.328,46.4749
80.332,46.066
80.336,45.7639
80.34,45.5064
80.344,45.5005
80.348,45.7665
80.352,46.2176
80.356,46.8376
80.36,47.5457
80.364,48.2836
80.368,49.0258
80.372,49.5132
80.376,49.953
80.38,50.238
80.384,50.4105
80.388,50.4325
80.392,50.3575
80.396,50.015
80.4,49.6025
80.404,49.1302
80.408,48.6071
80.412,48.0592
80.416,47.4345
80.42,46.8372
80.424,46.2817
80.428,45.8084
80.432,45.4236
80.436,45.1513
80.44,44.9936
80.444,44.952
80.448,45.0928
80.452,45.4187
80.456,45.8789
80.46,46.3334
80.464,46.8011
80.468,47.3127
80.472,47.6326
80.476,47.9164
80.48,48.1398
80.484,48.3019
80.488,48.368
80.492,48.2639
80.496,48.1102
80.5,47.9142
80.504,47.6729
80.508,47.4023
80.512,47.051
80.516,46.6866
80.52,46.3204
80.524,45.9898
