time,rad_s
76.616,-52.0607
76.62,-51.5963
76.624,-51.0798
76.628,-50.5561
76.632,-50.0727
76.636,-49.6422
76.64,-49.2847
76.644,-48.9986
76.648,-48.7826
76.652,-48.6543
76.656,-48.6006
76.66,-48.6536
76.664,-48.8295
76.668,-49.1121
76.672,-49.4549
76.676,-49.8414
76.68,-49.9673
76.684,-49.9899
76.688,-50.0578
76.692,-50.434
76.696,-50.08
76.7,-49.7691
76.704,-49.504
76.708,-50.1349
76.712,-50.5931
76.716,-50.8227
76.72,-50.9894
76.724,-51.1105
76.728,-50.6844
76.732,-50.3119
76.736,-49.9668
76.74,-49.6355
76.744,-49.2975
76.748,-49.4864
76.752,-49.5721
76.756,-49.6687
76.76,-49.8076
76.764,-49.9945
76.768,-50.9385
76.772,-51.6931
76.776,-52.2928
76.78,-52.7454
76.784,-52.5979
76.788,-52.4627
76.792,-53.0404
76.796,-53.3572
76.8,-53.4497
76.804,-53.3839
76.808,-53.3092
76.812,-53.19
76.816,-53.0234
76.82,-52.8443
76.824,-52.5988
76.828,-52.4454
76.832,-52.259
76.836,-52.063
76.84,-51.961
76.844,-51.874
76.848,-51.8092
76.852,-51.7726
76.856,-51.6763
76.86,-51.6129
76.864,-51.596
76.868,-51.5537
76.872,-51.5363
76.876,-51.6807
76.88,-51.82
76.884,-51.9555
76.888,-51.9251
76.892,-51.9177
76.896,-51.9233
76.9,-51.9617
76.904,-52.0413
76.908,-52.099
76.912,-52.141
76.916,-52.1714
76.92,-52.1764
76.924,-52.1799
76.928,-52.0792
76.932,-52.0026
76.936,-51.9281
76.94,-51.8553
76.944,-51.3104
76.948,-50.8366
76.952,-50.4515
76.956,-50.1419
76.96,-49.9059
76.964,-49.7233
76.968,-49.252
76.972,-49.0174
76.976,-48.901
76.98,-48.8947
76.984,-49.0225
76.988,-49.2701
76.992,-49.8282
76.996,-50.4056
77.0,-50.2049
77.004,-50.1078
77.008,-50.09
77.012,-50.131
77.016,-50.1951
77.02,-50.0344
77.024,-49.8974
77.028,-49.7899
77.032,-49.6983
77.036,-49.6202
77.04,-49.4516
77.044,-49.3079
77.048,-49.1947
77.052,-49.2224
77.056,-49.2598
77.06,-49.3042
77.064,-49.3708
77.068,-49.5568
77.072,-49.7262
77.076,-49.8837
77.08,-50.5312
77.084,-51.0016
77.088,-51.3775
77.092,-50.9958
77.096,-51.0118
77.1,-50.8325
77.104,-50.6518
77.108,-50.442
77.112,-50.2633
77.116,-49.9903
77.12,-49.7113
77.124,-49.4457
77.128,-49.2008
77.132,-48.9921
77.136,-48.8235
77.14,-50.0709
77.144,-51.1492
77.148,-52.001
77.152,-52.7055
77.156,-53.3031
77.16,-53.8231
77.164,-54.2351
77.168,-54.146
77.172,-53.4849
77.176,-52.8006
77.18,-52.0876
77.184,-51.5451
77.188,-50.9621
77.192,-50.3446
77.196,-49.7256
77.2,-49.1702
77.204,-48.9105
77.208,-49.0509
77.212,-49.0319
77.216,-49.122
77.22,-49.3594
77.224,-49.6866
77.228,-50.1134
77.232,-50.9565
77.236,-51.8613
77.24,-52.6043
77.244,-53.2127
77.248,-53.5857
77.252,-53.8393
77.256,-53.9203
77.26,-53.887
77.264,-53.7658
77.268,-53.5418
77.272,-53.3602
77.276,-53.0848
77.28,-52.7294
77.284,-52.3245
77.288,-51.8959
77.292,-51.5028
77.296,-51.0935
77.3,-50.6983
77.304,-50.3429
77.308,-50.0773
77.312,-49.8787
77.316,-49.7466
77.32,-49.699
77.324,-49.7272
77.328,-49.9024
77.332,-50.1672
77.336,-50.3767
77.34,-50.5976
77.344,-50.8612
77.348,-51.0526
77.352,-51.3636
77.356,-51.4518
77.36,-51.4985
77.364,-51.489
77.368,-51.4715
77.372,-51.4288
77.376,-50.993
77.38,-50.5752
77.384,-49.8942
77.388,-49.2765
77.392,-49.1031
77.396,-48.9276
77.4,-48.7687
77.404,-48.6519
77.408,-48.5988
77.412,-48.6526
77.416,-48.8292
77.42,-48.5177
77.424,-48.3079
77.428,-48.1847
77.432,-48.5064
77.436,-48.8261
77.44,-48.6079
77.444,-48.4681
77.448,-48.3861
77.452,-48.5837
77.456,-48.7616
77.46,-48.9252
77.464,-49.044
77.468,-49.4226
77.472,-49.4568
77.476,-49.4052
77.48,-49.3704
77.484,-49.3407
77.488,-49.3062
77.492,-49.2582
77.496,-49.1801
77.5,-49.6589
77.504,-49.9036
77.508,-50.0469
77.512,-50.1337
77.516,-50.1796
77.52,-50.1234
77.524,-50.0289
77.528,-49.9206
77.532,-49.7911
77.536,-49.6344
77.54,-49.645
77.544,-49.612
77.548,-49.5561
77.552,-49.3321
77.556,-49.141
77.56,-49.1663
77.564,-49.202
77.568,-49.2107
77.572,-49.1955
77.576,-49.2232
77.58,-49.2776
77.584,-49.3344
77.588,-49.3756
77.592,-49.4227
77.596,-49.4741
77.6,-49.5114
77.604,-49.5075
77.608,-49.4949
77.612,-49.4749
77.616,-49.6153
77.62,-49.7173
77.624,-49.7742
77.628,-50.0734
77.632,-50.2565
77.636,-50.7506
77.64,-51.0923
77.644,-51.3061
77.648,-51.4613
77.652,-51.5569
77.656,-51.4922
77.66,-51.5965
77.664,-51.6724
77.668,-51.5814
77.672,-51.1604
77.676,-50.7459
77.68,-50.3369
77.684,-49.942
77.688,-49.5497
77.692,-49.1876
77.696,-49.0183
77.7,-48.9391
77.704,-48.8716
77.708,-48.9714
77.712,-49.1471
77.716,-49.4123
77.72,-49.7596
77.724,-49.6916
77.728,-49.6891
77.732,-49.687
77.736,-49.873
77.74,-50.8507
77.744,-51.5783
77.748,-52.1066
77.752,-52.5074
77.756,-52.8157
77.76,-53.0395
77.764,-53.2365
77.768,-53.2591
77.772,-53.1751
77.776,-53.0014
77.78,-52.8534
77.784,-52.4859
77.788,-52.0242
77.792,-51.5378
77.796,-51.0584
77.8,-50.5942
77.804,-50.1521
77.808,-49.7568
77.812,-49.42
77.816,-49.1701
77.82,-49.0128
77.824,-48.953
77.828,-48.2799
77.832,-47.7989
77.836,-47.491
77.84,-47.3309
77.844,-47.278
77.848,-47.3152
77.852,-47.5313
77.856,-47.671
77.86,-47.9615
77.864,-48.1724
77.868,-48.6868
77.872,-49.1978
77.876,-49.6893
77.88,-50.1493
77.884,-50.535
