time,rad_s
77.48,51.7972
77.484,51.5952
77.488,51.3766
77.492,51.1624
77.496,50.9614
77.5,50.5858
77.504,50.312
77.508,50.0786
77.512,49.8984
77.516,49.7819
77.52,49.9077
77.524,50.0679
77.528,50.2702
77.532,50.5203
77.536,50.8051
77.54,51.0119
77.544,51.2137
77.548,51.3945
77.552,51.715
77.556,51.9478
77.56,51.9091
77.564,51.8389
77.568,51.7513
77.572,51.6394
77.576,51.4605
77.58,51.2431
77.584,51.0207
77.588,50.8034
77.592,50.5903
77.596,50.3995
77.6,50.2275
77.604,50.0345
77.608,49.8887
77.612,49.7922
77.616,49.6914
77.62,49.6333
77.624,49.6209
77.628,49.5268
77.632,49.493
77.636,49.4363
77.64,49.4156
77.644,49.4349
77.648,49.4489
77.652,49.4934
77.656,49.483
77.66,49.4091
77.664,49.346
77.668,49.3016
77.672,49.3347
77.676,49.376
77.68,49.5092
77.684,49.6059
77.688,49.6934
77.692,49.7569
77.696,49.6796
77.7,49.6137
77.704,49.5576
77.708,49.4912
77.712,49.4253
77.716,49.3599
77.72,49.2948
77.724,49.5017
77.728,49.6349
77.732,49.7316
77.736,49.8019
77.74,49.6994
77.744,49.621
77.748,49.5543
77.752,49.4696
77.756,49.3324
77.76,49.1969
77.764,49.0165
77.768,48.8442
77.772,48.6881
77.776,48.5644
77.78,48.459
77.784,48.4527
77.788,48.5803
77.792,48.6902
77.796,48.8217
77.8,48.9515
77.804,49.1318
77.808,49.2971
77.812,49.4516
77.816,49.5638
77.82,49.6453
77.824,49.6701
77.828,50.5137
77.832,51.0922
77.836,51.478
77.84,51.7065
77.844,51.8037
77.848,51.8226
77.852,51.7837
77.856,51.8254
77.86,51.6562
77.864,51.512
77.868,51.2312
77.872,50.927
77.876,50.5934
77.88,50.2442
77.884,49.9188
77.888,49.6229
77.892,49.3707
77.896,49.1744
77.9,49.0536
77.904,49.0063
77.908,49.0521
77.912,49.2057
77.916,49.4204
77.92,49.6795
77.924,50.0052
77.928,50.3449
77.932,50.6775
77.936,50.9879
77.94,51.8152
77.944,51.1648
77.948,50.6002
77.952,50.2585
77.956,50.614
77.96,50.7868
77.964,50.8092
77.968,50.7623
77.972,50.8946
77.976,50.9736
77.98,51.0137
77.984,51.0257
77.988,50.9375
77.992,50.8346
77.996,50.7561
78.0,50.6614
78.004,50.5993
78.008,50.5092
78.012,50.4139
78.016,50.5902
78.02,50.7184
78.024,50.8114
78.028,50.8618
78.032,50.8639
78.036,50.8826
78.04,50.8807
78.044,50.8698
78.048,50.8419
78.052,50.8088
78.056,50.7621
78.06,50.713
78.064,50.6433
78.068,50.5468
78.072,50.4367
78.076,50.3336
78.08,50.2364
78.084,50.0793
78.088,49.9547
78.092,49.3471
78.096,48.829
78.1,48.3968
78.104,48.2236
78.108,48.0947
78.112,48.0034
78.116,47.9721
78.12,48.0602
78.124,48.4681
78.128,49.0053
78.132,49.533
78.136,50.0538
78.14,50.5352
78.144,50.9707
78.148,51.5278
78.152,52.4484
78.156,53.1171
78.16,53.6027
78.164,54.196
78.168,54.5067
78.172,54.5775
78.176,54.4474
78.18,54.2158
78.184,53.7492
78.188,53.2029
78.192,52.5981
78.196,52.0827
78.2,52.0057
78.204,51.8662
78.208,51.6916
78.212,51.5242
78.216,51.3815
78.22,51.2971
78.224,51.2251
78.228,51.2834
78.232,51.3945
78.236,51.5268
78.24,51.6744
78.244,51.8504
78.248,51.9782
78.252,51.8983
78.256,51.8114
78.26,51.7189
78.264,51.6214
78.268,51.5105
78.272,51.3974
78.276,51.2917
78.28,50.4867
78.284,50.3201
78.288,49.9652
78.292,49.6627
78.296,49.3955
78.3,49.1586
78.304,48.9845
78.308,48.8826
78.312,48.5729
78.316,48.3739
78.32,48.26
78.324,48.2279
78.328,48.2806
78.332,48.4564
78.336,48.7216
78.34,49.069
78.344,49.4589
78.348,49.8624
78.352,50.2586
78.356,50.6495
78.36,50.9849
78.364,51.2457
78.368,51.435
78.372,51.5725
78.376,51.5706
78.38,51.5133
78.384,51.3994
78.388,51.2373
78.392,51.0343
78.396,49.162
78.4,46.3678
78.404,43.8196
78.408,41.5926
78.412,39.7691
78.416,37.807
78.42,36.2182
78.424,34.9107
78.428,34.1771
78.432,34.016
78.436,33.9157
78.44,34.7724
78.444,35.9447
78.448,37.776
78.452,40.0001
78.456,41.4432
78.46,42.6628
78.464,44.1502
78.468,45.6775
78.472,46.0814
78.476,46.4775
78.48,46.7651
78.484,46.9051
78.488,46.8577
78.492,46.2788
78.496,45.6461
78.5,44.847
78.504,43.8876
78.508,43.0052
78.512,42.1512
78.516,41.3399
78.52,40.6113
78.524,39.8327
78.528,39.2249
78.532,39.0505
78.536,39.032
78.54,39.1747
78.544,39.6051
78.548,40.2617
78.552,41.1169
78.556,42.8043
78.56,44.3739
78.564,45.5139
78.568,47.2359
78.572,48.7275
78.576,49.9139
78.58,50.9303
78.584,51.5825
78.588,51.9185
78.592,51.9562
78.596,51.8039
78.6,52.131
78.604,52.0462
78.608,51.7788
78.612,51.8725
78.616,51.7426
78.62,51.734
78.624,51.6061
78.628,51.4042
78.632,51.1578
78.636,51.319
78.64,51.574
78.644,51.7249
78.648,51.8174
78.652,51.9189
78.656,52.0615
78.66,52.2339
78.664,52.4108
78.668,54.4309
78.672,55.9503
78.676,57.2084
78.68,58.638
78.684,59.7106
78.688,60.4552
78.692,60.841
78.696,60.8631
78.7,61.051
78.704,60.8928
78.708,60.4979
78.712,59.8736
78.716,59.4902
78.72,59.1358
78.724,58.6109
78.728,57.9779
78.732,57.3085
78.736,56.6544
78.74,56.0599
78.744,55.5532
78.748,55.1306
78.752,54.8077
78.756,55.2954
78.76,55.8734
78.764,57.4454
78.768,58.845
78.772,59.9301
78.776,60.7181
78.78,61.2901
78.784,61.7054
78.788,62.0068
78.792,62.2255
78.796,62.3843
78.8,62.4996
78.804,62.3777
78.808,61.9952
78.812,61.5672
78.816,60.9145
78.82,60.2006
78.824,59.4159
78.828,58.515
78.832,57.5525
78.836,56.6022
78.84,55.7089
78.844,54.9104
78.848,54.5178
78.852,54.4337
78.856,54.6794
78.86,55.1501
78.864,55.9047
