sim_time, uav1/rotor_2_joint?0/velocity
161.224, -48.2686
161.228, -48.2629
161.232, -48.2581
161.236, -48.2447
161.24, -48.224
161.244, -48.2063
161.248, -48.2006
161.252, -48.2603
161.256, -48.2865
161.26, -48.2883
161.264, -48.2147
161.268, -48.1613
161.272, -48.1158
161.276, -48.0584
161.28, -47.9817
161.284, -47.9349
161.288, -47.895
161.292, -47.861
161.296, -47.7856
161.3, -47.7307
161.304, -47.6931
161.308, -47.6518
161.312, -47.6167
161.316, -47.596
161.32, -47.5876
161.324, -47.5805
161.328, -47.5651
161.332, -47.5521
161.336, -47.5409
161.34, -47.5315
161.344, -47.4584
161.348, -47.4054
161.352, -47.3695
161.356, -47.3018
161.36, -47.2441
161.364, -47.1949
161.368, -47.153
161.372, -47.0523
161.376, -46.985
161.38, -46.937
161.384, -46.8868
161.388, -46.8348
161.392, -46.809
161.396, -46.787
161.4, -46.7869
161.404, -46.7589
161.408, -46.735
161.412, -46.7147
161.416, -46.6973
161.42, -46.6733
161.424, -46.6528
161.428, -46.6446
161.432, -46.6377
161.436, -46.6224
161.44, -46.6002
161.444, -46.5812
161.448, -46.5743
161.452, -46.5807
161.456, -46.5739
161.46, -46.531
161.464, -46.4944
161.468, -46.4539
161.472, -46.4194
161.476, -46.3901
161.48, -46.3465
161.484, -46.3093
161.488, -46.2869
161.492, -46.2771
161.496, -46.2595
161.5, -46.2352
161.504, -46.3001
161.508, -46.2884
161.512, -46.2784
161.516, -46.2699
161.52, -46.2533
161.524, -46.2392
161.528, -46.2272
161.532, -46.2169
161.536, -46.2352
161.54, -46.2484
161.544, -46.258
161.548, -46.265
161.552, -46.2701
161.556, -46.2628
161.56, -46.2566
161.564, -46.2327
161.568, -46.1938
161.572, -46.1513
161.576, -46.1245
161.58, -46.1016
161.584, -46.0727
161.588, -46.0575
161.592, -46.0445
161.596, -46.0241
161.6, -46.0161
161.604, -46.0549
161.608, -46.1003
161.612, -46.1333
161.616, -46.1745
161.62, -46.2215
161.624, -46.2557
161.628, -46.2977
161.632, -46.3111
161.636, -46.307
161.64, -46.3035
161.644, -46.3006
161.648, -46.2888
161.652, -46.2694
161.656, -46.2437
161.66, -46.2124
161.664, -46.1951
161.668, -46.1803
161.672, -46.1584
161.676, -46.1305
161.68, -46.1724
161.684, -46.2373
161.688, -46.2671
161.692, -46.2888
161.696, -46.3218
161.7, -46.3457
161.704, -46.3631
161.708, -46.4101
