sim_time, uav1/rotor_2_joint?0/velocity
290.968, -48.5605
290.972, -48.6421
290.976, -48.7012
290.98, -48.7442
290.984, -48.7753
290.988, -48.798
290.992, -48.7512
290.996, -48.702
291, -48.6508
291.004, -48.6072
291.008, -48.5421
291.012, -48.4867
291.016, -48.4023
291.02, -48.3397
291.024, -48.2956
291.028, -48.2674
291.032, -48.2526
291.036, -48.2307
291.04, -48.2214
291.044, -48.241
291.048, -48.2724
291.052, -48.2952
291.056, -48.329
291.06, -48.3707
291.064, -48.4354
291.068, -48.5511
291.072, -48.6695
291.076, -48.7555
291.08, -48.818
291.084, -48.8633
291.088, -48.9135
291.092, -48.9327
291.096, -48.931
291.1, -48.911
291.104, -48.8753
291.108, -48.8263
291.112, -48.766
291.116, -48.6496
291.12, -48.5411
291.124, -48.4301
291.128, -48.3262
291.132, -48.2284
291.136, -48.1451
291.14, -48.0741
291.144, -48.0229
291.148, -48.0071
291.152, -48.0339
291.156, -48.0258
291.16, -48.0302
291.164, -48.0506
291.168, -48.1342
291.172, -48.1949
291.176, -48.2733
291.18, -48.3819
291.184, -48.5123
291.188, -48.6414
291.192, -48.7868
291.196, -48.875
291.2, -48.922
291.204, -48.9732
291.208, -48.9655
291.212, -48.9497
291.216, -48.9176
291.22, -48.8624
291.224, -48.8154
291.228, -48.7103
291.232, -48.6207
291.236, -48.5258
291.24, -48.4263
291.244, -48.323
291.248, -48.2442
291.252, -48.1679
291.256, -48.1029
291.26, -48.0567
291.264, -48.0267
291.268, -47.9919
291.272, -47.9622
291.276, -47.9669
291.28, -48.0047
291.284, -48.0665
291.288, -48.1285
291.292, -48.208
291.296, -48.3001
291.3, -48.4186
291.304, -48.539
291.308, -48.6437
291.312, -48.7026
291.316, -48.7281
291.32, -48.7467
291.324, -48.7773
291.328, -48.7824
291.332, -48.738
291.336, -48.6722
291.34, -48.607
291.344, -48.542
291.348, -48.4774
291.352, -48.4224
291.356, -48.3569
291.36, -48.2918
291.364, -48.2364
291.368, -48.1984
291.372, -48.2417
291.376, -48.2902
291.38, -48.3255
291.384, -48.3339
291.388, -48.3744
291.392, -48.4554
291.396, -48.5487
291.4, -48.6508
291.404, -48.7077
291.408, -48.7318
291.412, -48.7135
291.416, -48.6792
291.42, -48.65
291.424, -48.6158
291.428, -48.5681
291.432, -48.4996
291.436, -48.4319
291.44, -48.3835
291.444, -48.3423
291.448, -48.2887
291.452, -48.2243
291.456, -48.1695
291.46, -48.1229
291.464, -48.0831
291.468, -48.0891
291.472, -48.0934
291.476, -48.1481
291.48, -48.205
291.484, -48.2979
291.488, -48.3998
291.492, -48.491
291.496, -48.5572
291.5, -48.6053
291.504, -48.6402
291.508, -48.6656
291.512, -48.6668
291.516, -48.6488
291.52, -48.6334
291.524, -48.6202
291.528, -48.5904
291.532, -48.5465
291.536, -48.4904
291.54, -48.4427
291.544, -48.4113
291.548, -48.3752
291.552, -48.3352
291.556, -48.3012
291.56, -48.2629
291.564, -48.2302
291.568, -48.2024
291.572, -48.1973
291.576, -48.3096
291.58, -48.391
291.584, -48.4501
291.588, -48.4931
291.592, -48.5242
291.596, -48.5469
291.6, -48.5634
291.604, -48.5606
291.608, -48.5489
291.612, -48.5297
291.616, -48.504
291.62, -48.4728
291.624, -48.4369
291.628, -48.397
291.632, -48.3538
291.636, -48.3076
291.64, -48.259
291.644, -48.2176
291.648, -48.1823
291.652, -48.1801
291.656, -48.1783
291.66, -48.1767
291.664, -48.2774
291.668, -48.3504
291.672, -48.3326
291.676, -48.3268
291.68, -48.3348
291.684, -48.3405
291.688, -48.3335
291.692, -48.3275
291.696, -48.3225
291.7, -48.3181
291.704, -48.3144
291.708, -48.3258
291.712, -48.321
291.716, -48.3076
291.72, -48.2776
291.724, -48.2428
291.728, -48.2224
291.732, -48.2246
291.736, -48.2262
291.74, -48.2273
291.744, -48.2185
291.748, -48.211
291.752, -48.2045
291.756, -48.2116
291.76, -48.2339
291.764, -48.2501
291.768, -48.2791
291.772, -48.4033
291.776, -48.459
291.78, -48.4995
291.784, -48.5289
291.788, -48.5033
291.792, -48.4722
291.796, -48.4457
291.8, -48.3859
291.804, -48.335
291.808, -48.2824
291.812, -48.2282
291.816, -48.1727
291.82, -48.1255
291.824, -48.0852
291.828, -48.0602
291.832, -48.0482
291.836, -48.0473
291.84, -48.063
291.844, -48.1432
291.848, -48.2358
291.852, -48.3202
291.856, -48.3987
291.86, -48.4557
291.864, -48.4971
291.868, -48.5443
291.872, -48.5257
291.876, -48.5099
291.88, -48.5193
291.884, -48.5137
291.888, -48.5909
291.892, -48.6468
291.896, -48.6703
291.9, -48.6609
291.904, -48.6529
291.908, -48.6462
291.912, -48.6311
291.916, -48.5625
291.92, -48.5041
291.924, -48.4542
291.928, -48.4025
291.932, -48.3492
291.936, -48.2944
291.94, -48.2385
291.944, -48.1815
291.948, -48.1701
291.952, -48.1698
291.956, -48.2035
291.96, -48.2968
291.964, -48.3818
291.968, -48.4435
291.972, -48.4212
291.976, -48.4023
291.98, -48.3954
291.984, -48.3896
291.988, -48.4148
291.992, -48.4331
291.996, -48.431
292, -48.4199
292.004, -48.4104
292.008, -48.3838
292.012, -48.3518
292.016, -48.3246
292.02, -48.3014
292.024, -48.2816
292.028, -48.2647
292.032, -48.2503
292.036, -48.2288
292.04, -48.2197
292.044, -48.3258
292.048, -48.4027
292.052, -48.4586
292.056, -48.5164
292.06, -48.5755
292.064, -48.6357
292.068, -48.6622
292.072, -48.6642
292.076, -48.6464
292.08, -48.622
292.084, -48.5919
292.088, -48.5477
292.092, -48.4914
292.096, -48.4249
292.1, -48.3218
292.104, -48.2246
292.108, -48.1418
292.112, -48.0156
292.116, -47.9079
292.12, -47.8255
292.124, -47.7646
292.128, -47.722
292.132, -47.6765
292.136, -47.6905
292.14, -47.7695
292.144, -47.8956
292.148, -48.0388
292.152, -48.1943
292.156, -48.3588
292.16, -48.5299
292.164, -48.6197
292.168, -48.685
292.172, -48.7496
292.176, -48.7793
292.18, -48.7837
292.184, -48.7869
292.188, -48.779
292.192, -48.7629
292.196, -48.7399
292.2, -48.711
292.204, -48.717
292.208, -48.6915
292.212, -48.6512
292.216, -48.6076
292.22, -48.5704
292.224, -48.5387
292.228, -48.5117
292.232, -48.4795
292.236, -48.4426
292.24, -48.402
292.244, -48.3766
292.248, -48.355
292.252, -48.3459
292.256, -48.3382
292.26, -48.3316
292.264, -48.3166
292.268, -48.3132
292.272, -48.325
292.276, -48.3508
292.28, -48.3695
292.284, -48.4003
292.288, -48.4226
292.292, -48.456
292.296, -48.4975
292.3, -48.5104
292.304, -48.5062
292.308, -48.5339
292.312, -48.5884
292.316, -48.628
292.32, -48.6567
292.324, -48.6604
292.328, -48.6526
292.332, -48.618
292.336, -48.57
292.34, -48.5291
292.344, -48.4942
292.348, -48.4552
292.352, -48.422
292.356, -48.3658
292.36, -48.3086
292.364, -48.2692
292.368, -48.2356
292.372, -48.2163
292.376, -48.2202
292.38, -48.2574
292.384, -48.3017
292.388, -48.351
292.392, -48.3868
292.396, -48.4643
292.4, -48.5551
292.404, -48.621
292.408, -48.7032
292.412, -48.7629
292.416, -48.8063
292.42, -48.855
292.424, -48.9247
292.428, -48.9242
292.432, -48.9145
292.436, -48.8876
292.44, -48.8462
292.444, -48.8109
292.448, -48.7437
292.452, -48.6678
292.456, -48.5845
292.46, -48.5136
292.464, -48.4624
292.468, -48.4002
292.472, -48.3472
292.476, -48.302
292.48, -48.2636
292.484, -48.2308
292.488, -48.2214
292.492, -48.2134
292.496, -48.39
292.5, -48.5526
292.504, -48.6707
292.508, -48.7908
292.512, -48.878
292.516, -48.9586
292.52, -49.0343
292.524, -49.072
292.528, -49.0822
292.532, -49.0677
292.536, -49.0461
292.54, -49.009
292.544, -48.9775
292.548, -48.932
292.552, -48.8654
292.556, -48.7808
292.56, -48.7086
292.564, -48.6379
292.568, -48.5683
292.572, -48.509
292.576, -48.4492
292.58, -48.389
292.584, -48.3377
292.588, -48.294
292.592, -48.2846
292.596, -48.2766
292.6, -48.3328
292.604, -48.3907
292.608, -48.4672
292.612, -48.5399
292.616, -48.6271
292.62, -48.7249
292.624, -48.7958
292.628, -48.8473
292.632, -48.8847
292.636, -48.8947
292.64, -48.815
292.644, -48.7471
292.648, -48.6706
292.652, -48.5962
292.656, -48.5142
292.66, -48.435
292.664, -48.3676
292.668, -48.3194
292.672, -48.2784
292.676, -48.2527
292.68, -48.2309
292.684, -48.2479
292.688, -48.3462
292.692, -48.5036
292.696, -48.6694
292.7, -48.8414
292.704, -48.9835
292.708, -49.0867
292.712, -49.1789
292.716, -49.2286
292.72, -49.2647
292.724, -49.2738
292.728, -49.2588
292.732, -49.2182
292.736, -49.1649
292.74, -49.0824
292.744, -48.9842
292.748, -48.882
292.752, -48.7763
292.756, -48.6584
292.76, -48.5393
292.764, -48.4379
292.768, -48.3607
292.772, -48.295
292.776, -48.2762
292.78, -48.2694
292.784, -48.3103
292.788, -48.3077
292.792, -48.3381
292.796, -48.4117
292.8, -48.4824
292.804, -48.5681
292.808, -48.6475
292.812, -48.7396
292.816, -48.8237
292.82, -48.902
292.824, -48.8492
292.828, -48.7948
292.832, -48.6927
292.836, -48.6056
292.84, -48.5222
292.844, -48.4325
292.848, -48.384
292.852, -48.352
292.856, -48.334
292.86, -48.3187
292.864, -48.3056
292.868, -48.3194
292.872, -48.3637
292.876, -48.3959
292.88, -48.5225
292.884, -48.6144
292.888, -48.7327
292.892, -48.8358
292.896, -48.9795
292.9, -49.101
292.904, -49.258
292.908, -49.4065
292.912, -49.497
292.916, -49.5457
292.92, -49.5638
292.924, -49.5942
292.928, -49.5783
292.932, -49.5183
292.936, -49.43
292.94, -49.3361
292.944, -49.2654
292.948, -49.1681
292.952, -49.048
292.956, -48.9364
292.96, -48.8227
292.964, -48.7165
292.968, -48.6168
292.972, -48.5318
292.976, -48.4687
292.98, -48.4057
292.984, -48.3705
292.988, -48.3592
292.992, -48.3755
292.996, -48.439
293, -48.5023
293.004, -48.5998
293.008, -48.705
293.012, -48.7986
293.016, -48.8667
293.02, -48.9161
293.024, -48.9864
293.028, -49.003
293.032, -48.9816
293.036, -48.954
293.04, -48.9213
293.044, -48.9027
293.048, -48.8683
293.052, -48.8204
293.056, -48.7703
293.06, -48.7091
293.064, -48.6848
293.068, -48.6734
293.072, -48.6637
293.076, -48.6553
293.08, -48.6482
293.084, -48.6542
293.088, -48.7445
293.092, -48.81
293.096, -48.7985
293.1, -48.7981
293.104, -48.8662
293.108, -48.9845
293.112, -49.0531
293.116, -49.103
293.12, -49.1393
293.124, -49.2
293.128, -49.227
293.132, -49.2189
293.136, -49.1935
293.14, -49.1532
293.144, -49.1097
293.148, -49.0725
293.152, -49.013
293.156, -48.9437
293.16, -48.8196
293.164, -48.7046
293.168, -48.6159
293.172, -48.5403
293.176, -48.4945
293.18, -48.4555
293.184, -48.4316
293.188, -48.4297
293.192, -48.4783
293.196, -48.5996
293.2, -48.7392
293.204, -48.875
293.208, -49.0252
293.212, -49.1859
293.216, -49.3542
293.22, -49.4936
293.224, -49.5776
293.228, -49.5455
293.232, -49.5183
293.236, -49.4765
293.24, -49.413
293.244, -49.3496
